,0
0,punta arenas
1,busselton
2,kapaa
3,baturaja
4,jieznas
5,arraial do cabo
6,dikson
7,new norfolk
8,albany
9,severo-kurilsk
10,rikitea
11,cherskiy
12,jadu
13,bredasdorp
14,hobart
15,olafsvik
16,klaksvik
17,fethiye
18,te anau
19,honningsvag
20,victoria
21,skjervoy
22,lucapa
23,severobaykalsk
24,barranca
25,menongue
26,burns lake
27,alice springs
28,ye
29,tasiilaq
30,attawapiskat
31,mehamn
32,georgetown
33,paamiut
34,yumen
35,parlakimidi
36,castro
37,mataura
38,fomboni
39,makat
40,sao joao da barra
41,rostovka
42,coquimbo
43,terrace
44,villa maria
45,khatanga
46,dali
47,tautira
48,jamestown
49,daru
50,carnarvon
51,chara
52,thompson
53,upington
54,norman wells
55,atuona
56,sataua
57,palembang
58,mwense
59,jaguaruna
60,hofn
61,ancud
62,kaitangata
63,canora
64,upernavik
65,ushuaia
66,east london
67,nanakuli
68,salihli
69,taolanaro
70,lavrentiya
71,hermanus
72,yellowknife
73,saskylakh
74,la ronge
75,nemuro
76,korostyshiv
77,arkhangelskoye
78,lufilufi
79,airai
80,merauke
81,codrington
82,bluff
83,cidreira
84,ocala
85,elko
86,virginia beach
87,provideniya
88,cape town
89,palabuhanratu
90,havoysund
91,puerto quijarro
92,bosaso
93,port elizabeth
94,salalah
95,ribeira grande
96,volchanets
97,tuggurt
98,road town
99,monrovia
100,vestmannaeyjar
101,salekhard
102,avarua
103,butaritari
104,vila franca do campo
105,bethel
106,kavieng
107,naze
108,znamenka
109,mar del plata
110,koroni
111,sorland
112,ostrovnoy
113,lasa
114,arlit
115,sao filipe
116,kuala terengganu
117,puerto ayora
118,nsukka
119,dalvik
120,acajutla
121,iqaluit
122,tiznit
123,saldanha
124,beringovskiy
125,pevek
126,la cruz
127,cabra
128,ipswich
129,vaini
130,lebu
131,tuktoyaktuk
132,longyearbyen
133,barrow
134,qaanaaq
135,maragogi
136,tiksi
137,port alfred
138,dicabisagan
139,mount isa
140,taksimo
141,belushya guba
142,torbay
143,chuy
144,atar
145,kastamonu
146,zhangye
147,kaeo
148,illoqqortoormiut
149,darhan
150,tumannyy
151,ukiah
152,labutta
153,dalian
154,berlevag
155,ilebo
156,asau
157,douglas
158,sao jose da coroa grande
159,henties bay
160,tuatapere
161,nikolskoye
162,hovd
163,saurimo
164,halifax
165,hasaki
166,cabo san lucas
167,portland
168,shu
169,yulara
170,barentsburg
171,luganville
172,muisne
173,nevelsk
174,grand gaube
175,sijunjung
176,ust-ishim
177,chokurdakh
178,umzimvubu
179,san patricio
180,ngukurr
181,mae ramat
182,lolua
183,prokopion
184,moerai
185,hithadhoo
186,loiza
187,baturinskaya
188,ronneby
189,vila velha
190,tsihombe
191,vaitupu
192,mandalgovi
193,abu dhabi
194,pacific grove
195,ugoofaaru
196,vanavara
197,bridlington
198,boende
199,meulaboh
200,the valley
201,bambous virieux
202,nabire
203,adrar
204,grand river south east
205,ambilobe
206,sentyabrskiy
207,celestun
208,meadow lake
209,tsaratanana
210,leningradskiy
211,faanui
212,katsuura
213,genhe
214,hays
215,zachagansk
216,broome
217,comodoro rivadavia
218,laguna
219,soyo
220,inhambane
221,deh rawud
222,narsaq
223,zhangjiakou
224,machhlishahr
225,harper
226,santa cruz de rosales
227,ust-kan
228,male
229,emilio carranza
230,tabiauea
231,san andres
232,sinnamary
233,ponta do sol
234,kahului
235,morgan city
236,sal
237,ostersund
238,nantucket
239,honiara
240,buzmeyin
241,saint george
242,marawi
243,mount pleasant
244,nome
245,bauta
246,chulman
247,yanan
248,kousseri
249,lompoc
250,alyangula
251,port lincoln
252,san borja
253,haines junction
254,toliary
255,koygorodok
256,yabelo
257,bathsheba
258,gat
259,kulhudhuffushi
260,porto belo
261,codajas
262,araouane
263,malaryta
264,la palma
265,samusu
266,ewa beach
267,leo
268,caxias
