,city,temperature,humidity,clouds,wind_speed,lat,lon
0,punta arenas,18.77,94,12,2.31,-73.37528793348591,-85.73184121165635
1,busselton,32.41,98,68,12.26,-64.4286131893829,91.62717633307653
2,kapaa,80.83,100,24,8.41,11.358583432000017,-179.92210986170315
3,baturaja,89.65,53,80,5.31,-3.8682178778523735,104.61441595753661
4,jieznas,19.42,85,90,5.1,54.55528998418623,24.270717938014684
5,arraial do cabo,34.25,100,88,15.06,-57.39160604464813,-18.44208309315539
6,dikson,-6.61,89,76,15.06,88.40485160713877,76.3170715942378
7,new norfolk,-24.25,73,0,5.01,-83.75911095262445,127.57756031685841
8,albany,-24.25,71,0,4.81,-83.86892987897303,113.619217663636
9,severo-kurilsk,60.8,100,92,14.36,32.17203554979892,167.27086629812538
10,rikitea,64.58,100,80,1.01,-37.58345696396302,-130.53344634588868
11,cherskiy,-1.21,80,68,8.71,75.93030752095359,158.78497498376345
12,jadu,53.6,40,0,6.51,31.586348682377363,12.169624352869619
13,bredasdorp,42.08,91,92,11.66,-50.37414890139757,20.637309971400242
14,hobart,37.62,97,92,7.91,-62.61498206079431,142.02468619265596
15,olafsvik,37.4,100,48,16.96,60.45501610371346,-28.080436758442744
16,klaksvik,-7.37,93,92,12.46,80.01688410595861,-5.519777076316075
17,fethiye,58.15,100,36,2.56,36.08043036742224,28.81316784159418
18,te anau,62.42,91,20,10.86,-45.056547555431784,158.09960012325996
19,honningsvag,32.41,100,76,17.91,75.08290783088154,26.49330573439795
20,victoria,83.48,100,24,3.26,-4.325234762394274,62.540283084877785
21,skjervoy,28.62,100,44,2.66,71.71633640762829,19.772428910617748
22,lucapa,78.67,80,8,1.51,-8.286747229345451,18.57709208125482
23,severobaykalsk,1.36,65,32,2.01,54.938230059837394,109.14367945221682
24,barranca,74.84,95,20,0.71,-4.508249537434793,-76.2982684813711
25,menongue,80.2,63,32,2.46,-15.566141687251587,17.818505375421182
26,burns lake,22.15,75,80,0.76,52.540438131159476,-126.55503939331788
27,alice springs,90.28,33,48,5.36,-25.442330440539294,133.53098057794006
28,ye,87.8,57,0,2.31,15.595334549699444,97.78239151129611
29,tasiilaq,-14.12,58,32,11.31,67.99048632233266,-37.1706022327096
30,attawapiskat,-23.3,70,12,5.16,60.02890691648594,-87.06042827251662
31,mehamn,18.14,87,8,5.26,79.5975394180669,28.794785830796144
32,georgetown,80.42,100,76,5.86,-6.176501820212437,-15.345277455221975
33,paamiut,-6.16,69,44,4.91,63.80957259388049,-48.55147078955645
34,yumen,28.49,40,24,2.76,36.52023944766749,96.11928152139467
35,parlakimidi,75.61,58,92,2.11,18.818687241422566,84.13366019395369
36,castro,45.95,100,80,16.96,-52.54371758201582,-102.18770754959318
37,mataura,41.86,100,44,11.41,-55.64951063030376,-154.7769065805692
38,fomboni,82.4,100,12,6.21,-14.552831008996748,43.37368625385449
39,makat,30.97,92,76,7.61,47.52989399675758,54.424408230617985
40,sao joao da barra,66.97,100,100,5.21,-34.242920154846864,-21.91753498410128
41,rostovka,-12.37,80,0,1.51,55.38938137973037,71.55522556383875
42,coquimbo,66.29,100,0,9.41,-28.92485420717437,-76.62784840030933
43,terrace,8.87,74,56,1.36,57.63834412193384,-129.35686708838972
44,villa maria,75.83,95,36,2.76,-32.32809078825851,-63.21187286637023
45,khatanga,-22.18,66,0,1.61,80.24496030581466,99.41984491032338
46,dali,51.62,28,20,1.41,26.911480564141,99.3060959981247
47,tautira,78.08,100,88,9.31,-14.871457305294314,-146.21136165373025
